"group","count","prop","hh.type","typology","code","country","year","subregions","regions"
"total",43656100,0.0369830801271125,"single","un",156,"China",2000,"EAS","AS"
"total",703748600,0.59617764443327,"nuclear","un",156,"China",2000,"EAS","AS"
"total",433029700,0.366839275439618,"extended","un",156,"China",2000,"EAS","AS"
"old_female",48230,0.109481760606542,"single","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",71130,0.161464599459742,"one gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",121190,0.275100447188614,"two gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",141360,0.320886205252764,"three+ gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",58620,0.133066987492339,"skipped","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",60960,0.147153961280355,"single","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",87770,0.211871771351325,"one gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",129050,0.311519335682904,"two gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",101680,0.245449717568676,"three+ gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",34800,0.0840052141167383,"skipped","inter",214,"DominicanRepublic",2010,"CRB","AM"
"total",401990,0.0425934323955481,"single","inter",214,"DominicanRepublic",2010,"CRB","AM"
"total",936280,0.0992049028167462,"one gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"total",5847680,0.61959939986268,"two gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"total",1889720,0.200228018275368,"three+ gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"total",362170,0.0383742466496571,"skipped","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",79030,0.0185453743335586,"single","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",347520,0.0815498986258166,"one gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",2831870,0.664533584891492,"two gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",868310,0.203759761958399,"three+ gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",134710,0.0316113801907336,"skipped","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",213770,0.0494653612889641,"single","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",429860,0.0994675595437811,"one gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",2765570,0.639939744678488,"two gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",778370,0.180111115996122,"three+ gen","inter",214,"DominicanRepublic",2010,"CRB","AM"
